Disease,Specialization
Hypothermia,Emergency Medicine Specialist
Oppositional disorder,Psychiatrist
Migraine,Neurologist
Diabetic peripheral neuropathy,Neurologist
Testicular disorder,Urologist
Gestational diabetes,Endocrinologist
Hidradenitis suppurativa,Dermatologist
Valley fever (Coccidioidomycosis),Infectious Disease Specialist
Conjunctivitis due to bacteria,Ophthalmologist
Lewy body dementia,Neurologist
Marfan syndrome,Cardiologist
Multiple myeloma,Hematologist
Stomach cancer,Oncologist
Developmental disability,Neurologist
Acute stress reaction,Psychiatrist
Delirium,Neurologist
Guillain-Barre syndrome,Neurologist
Lumbago,Orthopedic
Deviated nasal septum,ENT specialist
Patau syndrome,General Physician
Peripheral arterial disease,Vascular Surgeon
Chronic back pain,Orthopedic 
Heart failure,Cardiologist
Conjunctivitis,Ophthalmologist
Herniated disk,Neuro Surgeon
Rhabdomyolysis,Nephrologist
Breast infection (mastitis),General Surgeon
Abdominal aortic aneurysm,Vascular Surgeon
Pulmonary embolism,Pulmonologist
Conduct disorder,Psychiatrist 
Air embolism,Anesthesiologist
Mastectomy,General Surgeon
Epididymitis,Urologist
Premature rupture of amniotic membrane,Gynecologist
Molluscum contagiosum,Dermatologist
Necrotizing fasciitis,General Surgeon
Benign vaginal discharge (leukorrhea),Gynecologist
Bladder obstruction,Urologist
Melanoma,Oncologist
Cervical disorder,Gynecologist
Laryngitis,ENT specialist
Poisoning due to opioids,Emergency Medicine Specialist
Diaper rash,Dermatologist
Gastroduodenal ulcer,Gastroenterologist
Inguinal hernia,General Surgeon
Asperger syndrome,Psychiatrist
Mucositis,Oncologist
Paronychia,Dermatologist
Open wound of the jaw,Oral Surgeon
White blood cell disease,Hematologist
Kaposi sarcoma,Oncologist
Spondylolisthesis,Orthopedic
Pseudotumor cerebri,Neurologist
Conjunctivitis due to virus,Ophthalmologist
Open wound of the nose,Plastic Surgeon
Head injury,Neuro Surgeon
Ascending cholangitis,Gastroenterologist
Idiopathic irregular menstrual cycle,Gynecologist
Interstitial lung disease,Pulmonologist
Mononeuritis,Neurologist
Malaria,Infectious Disease Specialist
Somatization disorder,Psychiatrist
Hypovolemia,Critical Care Specialist
Schizophrenia,Psychiatrist
Knee ligament or meniscus tear,Orthopedic Surgeon
Sepsis,Critical Care Specialist
Heat stroke,Emergency Medicine Specialist
Cholecystitis,General Surgeon
Cardiac arrest,Cardiologist
Cardiomyopathy,Cardiologist
Social phobia,Psychiatrist
Meningitis,Infectious Disease Specialist
Spherocytosis,Hematologist
Hormone disorder,Endocrinologist
Raynaud disease,Rheumatologist
Reactive arthritis,Rheumatologist
Ear wax impaction,ENT specialist
Hypertension of pregnancy,Gynecologist
Peripheral arterial embolism,Vascular Surgeon
Fracture of the skull,Neuro Surgeon
Uveitis,Ophthalmologist
Fracture of the facial bones,General Surgeon
Tracheitis,ENT specialist
Jaw disorder,Oral Surgeon
Perirectal infection,General Surgeon
Breast cyst,General Surgeon
Post-traumatic stress disorder (PTSD),Psychiatrist
Kidney cancer,Oncologist
Vulvar cancer,Oncologist
Blepharitis,Ophthalmologist
Celiac disease,Gastroenterologist
Cystitis,Urologist
Sickle cell anemia,Hematologist
Subconjunctival hemorrhage,Ophthalmologist
Hemorrhoids,General Surgeon
Sinus bradycardia,Cardiologist
High blood pressure,Cardiologist
Pelvic inflammatory disease,Gynecologist
Liver disease,Hepatologist
Chronic constipation,Gastroenterologist
Thyroid cancer,Endocrinologist
Flu,Infectious Disease Specialist
Friedreich ataxia,Neurologist
Tic (movement) disorder,Neurologist
Skin polyp,Dermatologist
Brachial neuritis,Neurologist
Cervical cancer,Oncologist
Adrenal adenoma,Endocrinologist
Esophagitis,Gastroenterologist
Gas gangrene,Infectious Disease Specialist
Yeast infection,Dermatologist
Spina bifida,Neuro Surgeon
Drug poisoning due to medication,General Physician
Alcoholic liver disease,Hepatologist
Malignant hypertension,Cardiologist
Diverticulitis,Gastroenterologist
Moyamoya disease,Neuro Surgeon
Heat exhaustion,Emergency Medicine Specialist
Psychotic disorder,Psychiatrist
Frostbite,Plastic Surgeon
Atrophy of the corpus cavernosum,Urologist
Smoking or tobacco addiction,Psychiatrist
Sprain or strain,Orthopedic
Essential tremor,Neurologist
Open wound of the ear,ENT Specialist
Foreign body in the nose,ENT Specialist
Idiopathic painful menstruation,Gynecologist
Down syndrome,Pediatrician
Idiopathic infrequent menstruation,Gynecologist
Pneumothorax,Pulmonologist
De Quervain disease,Orthopedic
Fracture of the vertebra,Orthopedic
